State,Notes,Total Medicaid Enrollees,Individuals Enrolled (Any),Percent of all Medicaid enrollees (Any),Individuals Enrolled (Comprehensive),Percent of all Medicaid enrollees (Comprehensive),Year
TOTALS,,"80,263,839","65,034,032",81.00%,"54,547,048",68.00%,2016
Arkansas5,"Arkansas is unable to report enrollment as of July 1, 2016. Enrollment figures represent cumulative enrollment for the state fiscal year (July 1,2015-June 30, 2016).","1,026,621","512,041",49.90%,167,0.00%,2016
District of Columbia,,"251,791","180,942",71.90%,"180,942",71.90%,2016
Wyoming,,"64,442",391,0.60%,112,0.20%,2016
Pennsylvania,,"2,753,618","2,521,421",91.60%,"2,233,115",81.10%,2016
Massachusetts,,"1,889,306","1,268,120",67.10%,"874,367",46.30%,2016
North Dakota,,"93,422","48,621",52.00%,"21,347",22.90%,2016
Michigan,,"4,448,582","4,370,138",98.20%,"2,220,029",49.90%,2016
Virginia,,"1,111,999","761,019",68.40%,"761,019",68.40%,2016
Hawaii,,"358,302","354,289",98.90%,"354,289",98.90%,2016
Kentucky,,"1,361,722","1,284,134",94.30%,"1,262,610",92.70%,2016
South Dakota,,"125,395","94,295",75.20%,0,0.00%,2016
Montana,,"207,340","121,277",58.50%,0,0.00%,2016
Alabama,,"1,037,037","664,687",64.10%,175,0.00%,2016
California,,"13,739,388","10,574,784",77.00%,"10,571,742",76.90%,2016
Missouri,,"982,776","961,682",97.90%,"494,392",50.30%,2016
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,2016
Louisiana,,"1,504,333","1,381,116",91.80%,"1,263,562",84.00%,2016
New Jersey,,"1,679,572","1,557,081",92.70%,"1,557,081",92.70%,2016
Delaware,,"221,229","196,102",88.60%,"196,102",88.60%,2016
Washington,,"1,820,084","1,820,084",100.00%,"1,557,421",85.60%,2016
Guam,,n/a,n/a,n/a,n/a,n/a,2016
Oregon,,"1,109,321","894,543",80.60%,"894,543",80.60%,2016
Alaska4,"Alaska was not able to provide total Medicaid enrollment as of July 1, 2016.  This figure is from the April - June 2016 enrollment data collected through the Medicaid Budget and Expenditure System, updated September 2017, and accessed February 15, 2017. See https://www.medicaid.gov/medicaid/program-information/downloads/cms-64-enrollment-report-apr-jun-2016.pdf.","155,865",0,0.00%,0,0.00%,2016
New Hampshire,,"206,997","136,985",66.20%,"136,985",66.20%,2016
New Mexico,,"884,368","684,488",77.40%,"684,488",77.40%,2016
South Carolina,,"1,235,361","1,235,361",100.00%,"742,528",60.10%,2016
Indiana,,"1,421,696","1,078,625",75.90%,"1,078,625",75.90%,2016
Maine,,"277,697","239,953",86.40%,0,0.00%,2016
Rhode Island,,"293,676","278,087",94.70%,"251,714",85.70%,2016
Mississippi,,"726,473","499,365",68.70%,"499,365",68.70%,2016
Georgia,,"1,857,292","1,228,700",66.20%,"1,218,210",65.60%,2016
West Virginia,,"553,318","390,083",70.50%,"390,083",70.50%,2016
Utah,,"294,707","291,426",98.90%,"244,763",83.10%,2016
Colorado,,"1,344,548","1,291,043",96.00%,"134,792",10.00%,2016
Ohio,,"3,022,121","2,455,224",81.20%,"2,413,500",79.90%,2016
American Samoa,,n/a,n/a,n/a,n/a,n/a,2016
New York,,"6,139,403","4,669,344",76.10%,"4,512,115",73.50%,2016
Texas,,"4,051,664","3,922,822",96.80%,"3,582,604",88.40%,2016
Iowa,,"624,973","562,382",90.00%,"562,382",90.00%,2016
Vermont8,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity.","200,481","124,399",62.10%,"124,399",62.10%,2016
Illinois,,"3,230,870","1,967,783",60.90%,"1,967,553",60.90%,2016
Nevada,,"629,265","557,397",88.60%,"401,434",63.80%,2016
Florida,,"3,900,380","3,280,187",84.10%,"3,187,837",81.70%,2016
Puerto Rico,,"1,617,501","1,617,501",100.00%,"1,617,501",100.00%,2016
Oklahoma,,"792,387","643,789",81.20%,310,0.00%,2016
Minnesota,,"1,088,610","817,463",75.10%,"814,947",74.90%,2016
